15
300 5000
160 270 2
86 116 3
143 40 7
190 152 1
50 271 6
237 248 2
281 46 1
84 65 4
166 299 4
124 239 5
254 77 5
115 199 3
116 238 2
278 202 2
213 207 5
212 159 3
57 138 5
273 115 5
29 274 3
238 196 7
271 299 6
233 150 3
187 289 6
24 175 2
71 101 7
23 65 7
295 221 1
176 30 1
239 293 2
218 99 2
3 84 5
215 109 1
60 161 2
185 238 7
277 165 6
112 54 3
190 205 7
232 188 4
28 135 6
288 97 7
138 67 1
40 294 5
211 234 2
149 168 6
29 49 1
23 16 1
225 243 7
156 280 6
84 113 6
55 140 2
54 44 6
100 179 4
251 224 2
221 149 6
74 77 4
262 147 1
267 105 4
35 61 3
48 83 7
271 98 3
170 61 7
159 100 2
66 184 1
118 99 5
196 176 6
292 185 1
15 22 7
283 97 1
274 158 3
275 24 1
215 147 4
18 86 3
123 42 7
195 197 4
233 162 6
176 129 3
68 128 2
80 198 2
105 147 5
244 158 3
123 203 4
202 247 2
144 18 4
197 171 1
15 79 4
244 204 2
298 46 1
165 92 1
269 282 3
74 178 1
300 296 7
101 37 5
220 121 7
207 145 2
203 30 7
269 61 2
84 58 2
108 45 4
221 66 2
169 256 7
135 234 4
76 256 3
298 205 1
284 290 5
210 130 5
146 123 5
206 292 7
238 19 2
190 61 3
136 188 2
3 92 6
55 61 2
167 60 1
52 77 7
126 277 2
110 28 2
11 265 6
96 247 5
250 164 4
37 101 4
146 145 3
26 68 4
191 277 2
266 202 3
233 168 7
153 67 5
150 240 6
109 264 7
100 229 6
297 249 4
225 261 2
234 24 1
164 109 1
198 132 7
211 122 6
130 300 6
224 12 4
29 92 6
9 241 7
199 22 3
249 175 3
3 257 1
198 224 2
264 130 6
277 132 5
205 125 7
264 210 6
286 69 6
234 125 7
256 105 3
86 60 5
251 288 1
197 3 2
212 76 4
294 289 2
161 300 4
129 116 4
88 209 3
86 42 6
183 99 5
276 90 4
171 73 5
273 2 2
99 112 1
117 200 2
61 5 3
180 172 3
54 280 7
17 165 6
176 7 7
202 217 3
103 62 4
12 22 4
76 14 7
83 47 5
218 268 2
141 272 5
101 196 6
104 148 2
165 194 1
37 267 4
1 55 4
228 187 7
198 174 3
56 79 2
70 205 7
240 205 6
142 195 4
144 292 7
94 231 3
180 218 2
57 125 6
213 121 3
276 283 5
206 126 2
15 46 5
218 173 7
292 29 2
151 152 7
156 126 5
159 281 6
169 142 6
242 26 4
33 284 6
12 172 3
242 5 2
44 199 4
209 213 2
243 36 4
74 92 7
221 117 3
244 182 7
51 293 6
14 122 2
288 72 5
65 113 6
153 110 2
133 160 4
243 37 7
136 209 7
202 271 4
200 26 2
201 217 1
81 230 5
10 9 4
184 101 5
112 192 4
98 40 1
128 168 4
129 280 7
191 183 7
96 251 2
76 54 3
283 129 2
294 297 7
50 26 6
38 20 3
100 79 1
196 11 7
153 55 7
119 94 7
36 227 7
111 260 2
83 198 1
175 32 5
48 187 7
135 152 1
253 139 5
213 247 1
30 180 6
104 99 2
46 24 1
179 255 4
155 78 1
85 144 2
28 141 6
104 158 6
162 17 3
71 67 5
289 39 2
107 24 5
165 80 3
299 123 1
232 73 5
79 284 1
94 57 7
103 83 2
114 9 1
102 155 5
37 295 2
168 139 5
80 86 1
15 164 7
121 194 1
296 66 7
100 155 4
219 121 7
107 202 1
198 134 2
279 165 3
81 102 4
79 15 1
165 10 1
271 53 7
137 243 4
120 148 6
297 233 1
104 62 4
164 174 2
171 242 6
11 212 1
173 281 5
86 139 2
221 236 2
71 228 3
255 279 7
196 27 4
181 80 6
72 28 5
33 37 5
282 253 6
1 137 3
52 292 5
94 159 5
285 104 6
60 66 1
126 172 4
191 10 1
16 222 6
34 253 1
293 52 6
286 294 7
118 99 5
159 247 4
234 152 6
201 66 1
111 30 5
80 45 5
197 151 5
165 292 4
253 156 1
209 263 7
30 77 2
226 254 2
236 278 3
55 68 1
98 61 7
14 244 6
175 230 7
60 205 7
153 192 7
179 146 7
50 165 5
109 265 6
63 260 3
140 213 6
298 64 6
41 50 1
69 145 7
281 299 5
224 140 4
43 153 5
20 192 5
172 254 6
235 15 6
255 219 2
165 278 5
47 17 7
20 166 6
138 300 4
94 31 3
134 39 1
43 90 2
293 48 7
109 182 5
250 243 7
274 34 3
258 66 1
187 243 1
61 212 1
78 271 7
59 179 3
103 122 4
108 274 3
259 38 6
103 107 1
112 107 2
104 60 7
117 296 1
146 11 1
46 45 1
220 1 2
235 89 5
294 249 7
189 227 7
46 75 3
193 153 6
128 154 3
36 119 4
260 221 3
197 73 7
104 115 1
9 70 1
238 173 5
18 79 5
102 14 2
227 32 4
203 49 6
151 154 4
117 18 3
162 175 6
256 66 2
159 10 6
130 44 7
242 137 1
251 56 5
282 216 2
242 283 5
200 78 5
43 131 2
259 236 1
102 212 2
79 73 5
181 133 2
157 128 4
243 72 5
4 150 7
31 203 7
147 100 2
156 23 1
40 22 2
70 90 2
4 283 2
300 9 4
170 91 5
120 43 2
100 62 1
221 108 6
126 46 6
101 262 5
137 76 3
42 213 3
199 286 2
92 29 1
112 176 4
190 70 2
142 248 1
231 17 2
149 267 7
184 239 6
45 205 6
67 118 4
87 97 3
56 118 3
223 236 4
205 192 6
161 185 4
101 226 7
16 282 5
82 143 6
248 293 2
36 227 1
39 221 2
123 175 2
128 103 1
81 131 2
173 64 4
78 53 3
164 183 3
37 198 2
140 156 7
82 185 1
25 77 5
145 166 2
7 163 7
280 164 3
118 283 7
262 210 6
107 41 3
218 15 2
300 31 1
96 104 6
199 171 7
160 60 3
297 264 5
292 113 2
234 104 4
136 81 4
75 2 2
266 148 1
283 126 3
224 119 6
54 115 1
268 69 2
150 122 4
1 123 5
288 202 3
276 82 1
237 118 4
14 124 3
223 254 4
275 97 5
189 72 7
93 60 7
293 168 3
123 130 4
66 83 7
148 268 5
298 112 4
208 274 4
209 61 7
76 166 6
163 138 2
287 112 4
218 223 1
158 161 6
135 215 6
171 126 5
200 247 5
246 67 6
245 63 7
103 220 2
142 143 1
16 252 7
1 40 1
271 72 2
39 3 6
67 85 2
88 185 7
281 216 7
212 138 6
141 135 4
236 93 2
95 147 6
100 23 3
293 90 1
19 79 2
198 203 7
2 107 6
91 46 6
2 59 5
130 19 2
265 239 3
23 226 5
286 288 3
60 42 6
167 225 4
255 195 4
202 261 2
31 38 6
80 255 6
282 130 2
294 39 3
107 96 7
290 229 7
81 9 2
185 252 7
290 125 1
278 193 6
234 110 2
62 171 1
60 98 7
12 275 5
296 200 3
247 294 3
237 60 1
24 136 3
167 194 1
23 175 4
252 263 2
16 113 6
240 298 6
206 274 1
95 72 1
74 226 3
95 20 3
24 256 6
95 161 3
224 237 4
89 69 3
103 12 3
93 58 4
149 272 5
197 64 2
104 86 5
50 188 7
201 273 4
35 165 3
116 247 7
238 37 2
